Date,Day,Time,Tank,Treatment,Combo,Part,Live1,Dead1,Live2,Dead2,Live3,Dead3,Live4,Dead4,Live5,Dead5,Volume.Counted.ml,Vol.Tripour,Sampled
20160308,Day0,Time0,1,pH 7.4,Day 0 pH 7.4,Part1,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,Time0,2,pH 7.9,Day 0 pH 7.9,Part1,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,Time0,3,pH 7.9,Day 0 pH 7.9,Part1,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,Time0,4,pH 7.4,Day 0 pH 7.4,Part1,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,Time0,5,pH 7.4,Day 0 pH 7.4,Part1,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160308,Day0,Time0,6,pH 7.9,Day 0 pH 7.9,Part1,113,0,119,0,124,0,126,0,126,0,0.2,1892.7,NA
20160310,Day2,Time1,1,pH 7.4,Day 2 pH 7.4,Part1,208,2,221,2,209,2,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,Time1,2,pH 7.9,Day 2 pH 7.9,Part1,228,1,184,3,188,0,NA,NA,NA,NA,0.1,520,20000
20160310,Day2,Time1,3,pH 7.9,Day 2 pH 7.9,Part1,198,3,190,1,231,2,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,Time1,4,pH 7.4,Day 2 pH 7.4,Part1,207,0,222,0,199,2,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,Time1,5,pH 7.4,Day 2 pH 7.4,Part1,148,0,199,0,180,0,NA,NA,NA,NA,0.1,500,20000
20160310,Day2,Time1,6,pH 7.9,Day 2 pH 7.9,Part1,192,0,182,0,197,0,NA,NA,NA,NA,0.1,500,20000
20160312,Day4,Time2,1,pH 7.4,Day 4 pH 7.4,Part1,129,36,160,23,138,15,NA,NA,NA,NA,0.1,500,20000
20160312,Day4,Time2,2,pH 7.9,Day 4 pH 7.9,Part1,161,21,144,38,149,29,NA,NA,NA,NA,0.1,500,20000
20160312,Day4,Time2,3,pH 7.9,Day 4 pH 7.9,Part1,161,23,179,29,153,26,NA,NA,NA,NA,0.1,500,20000
20160312,Day4,Time2,4,pH 7.4,Day 4 pH 7.4,Part1,183,13,171,9,186,11,NA,NA,NA,NA,0.1,500,20000
20160312,Day4,Time2,5,pH 7.4,Day 4 pH 7.4,Part1,160,29,141,19,150,20,NA,NA,NA,NA,0.1,500,20000
20160312,Day4,Time2,6,pH 7.9,Day 4 pH 7.9,Part1,177,27,174,29,174,31,NA,NA,NA,NA,0.1,500,20000
20160314,Day6,Time3,1,pH 7.4,Day 6 pH 7.4,Part1,114,46,141,25,123,31,NA,NA,NA,NA,0.1,500,20000
20160314,Day6,Time3,2,pH 7.9,Day 6 pH 7.9,Part1,33,132,27,159,26,138,NA,NA,NA,NA,0.1,500,20000
20160314,Day6,Time3,3,pH 7.9,Day 6 pH 7.9,Part1,45,138,54,124,38,102,NA,NA,NA,NA,0.1,500,20000
20160314,Day6,Time3,4,pH 7.4,Day 6 pH 7.4,Part1,67,88,76,86,63,84,NA,NA,NA,NA,0.1,500,20000
20160314,Day6,Time3,5,pH 7.4,Day 6 pH 7.4,Part1,88,31,82,26,115,44,NA,NA,NA,NA,0.1,500,20000
20160314,Day6,Time3,6,pH 7.9,Day 6 pH 7.9,Part1,194,10,126,14,150,17,NA,NA,NA,NA,0.1,500,20000
20160315,Day7,Time4,1,pH 7.4,Day 7 pH 7.4,Part2,35.83333333,8.5,39.33333333,13.83333333,38,10.33333333,NA,NA,NA,NA,0.2,800,20000
20160315,Day7,Time4,2,pH 7.0,Day 7 pH 7.0,Part2,35.83333333,8.5,39.33333333,13.83333333,38,10.33333333,NA,NA,NA,NA,0.2,800,20000
20160315,Day7,Time4,3,pH 7.0,Day 7 pH 7.0,Part2,35.83333333,8.5,39.33333333,13.83333333,38,10.33333333,NA,NA,NA,NA,0.2,800,20000
20160315,Day7,Time4,4,pH 7.4,Day 7 pH 7.4,Part2,35.83333333,8.5,39.33333333,13.83333333,38,10.33333333,NA,NA,NA,NA,0.2,800,20000
20160315,Day7,Time4,5,pH 7.4,Day 7 pH 7.4,Part2,35.83333333,8.5,39.33333333,13.83333333,38,10.33333333,NA,NA,NA,NA,0.2,800,20000
20160315,Day7,Time4,6,pH 7.0,Day 7 pH 7.0,Part2,35.83333333,8.5,39.33333333,13.83333333,38,10.33333333,NA,NA,NA,NA,0.2,800,20000
20160318,Day10,Time5,1,pH 7.4,Day 10 pH 7.4,Part2,24,230,17,187,21,204,NA,NA,NA,NA,0.2,250,20000
20160318,Day10,Time5,2,pH 7.0,Day 10 pH 7.0,Part2,64,68,64,61,35,84,NA,NA,NA,NA,0.2,250,20000
20160318,Day10,Time5,3,pH 7.0,Day 10 pH 7.0,Part2,46,187,54,87,40,64,NA,NA,NA,NA,0.2,250,20000
20160318,Day10,Time5,4,pH 7.4,Day 10 pH 7.4,Part2,15,214,22,232,19,207,NA,NA,NA,NA,0.2,250,20000
20160318,Day10,Time5,5,pH 7.4,Day 10 pH 7.4,Part2,18,190,12,208,12,201,NA,NA,NA,NA,0.2,250,20000
20160318,Day10,Time5,6,pH 7.0,Day 10 pH 7.0,Part2,42,112,45,102,43,89,NA,NA,NA,NA,0.2,250,20000
