Date,Tube.ID,Tank,Treatment,Time,Trial
8-Mar-16,M1,Initial,Initial,Time0,Trial2
8-Mar-16,M2,Initial,Initial,Time0,Trial2
8-Mar-16,M3,Initial,Initial,Time0,Trial2
8-Mar-16,M4,Initial,Initial,Time0,Trial2
8-Mar-16,M5,Initial,Initial,Time0,Trial2
10-Mar-16,M6,Tank1,pH 7.4,Time1,Trial2
10-Mar-16,M7,Tank1,pH 7.4,Time1,Trial2
10-Mar-16,M8,Tank1,pH 7.4,Time1,Trial2
10-Mar-16,M9,Tank2,pH 7.9,Time1,Trial2
10-Mar-16,M10,Tank2,pH 7.9,Time1,Trial2
10-Mar-16,M11,Tank2,pH 7.9,Time1,Trial2
10-Mar-16,M12,Tank3,pH 7.9,Time1,Trial2
10-Mar-16,M13,Tank3,pH 7.9,Time1,Trial2
10-Mar-16,M14,Tank3,pH 7.9,Time1,Trial2
10-Mar-16,M15,Tank4,pH 7.4,Time1,Trial2
10-Mar-16,M16,Tank4,pH 7.4,Time1,Trial2
10-Mar-16,M17,Tank4,pH 7.4,Time1,Trial2
10-Mar-16,M18,Tank5,pH 7.4,Time1,Trial2
10-Mar-16,M19,Tank5,pH 7.4,Time1,Trial2
10-Mar-16,M20,Tank5,pH 7.4,Time1,Trial2
10-Mar-16,M21,Tank6,pH 7.9,Time1,Trial2
10-Mar-16,M22,Tank6,pH 7.9,Time1,Trial2
10-Mar-16,M23,Tank6,pH 7.9,Time1,Trial2
12-Mar-16,M24,Tank6,pH 7.9,Time2,Trial2
12-Mar-16,M25,Tank6,pH 7.9,Time2,Trial2
12-Mar-16,M26,Tank6,pH 7.9,Time2,Trial2
12-Mar-16,M27,Tank5,pH 7.4,Time2,Trial2
12-Mar-16,M28,Tank5,pH 7.4,Time2,Trial2
12-Mar-16,M29,Tank5,pH 7.4,Time2,Trial2
12-Mar-16,M30,Tank4,pH 7.4,Time2,Trial2
12-Mar-16,M31,Tank4,pH 7.4,Time2,Trial2
12-Mar-16,M32,Tank4,pH 7.4,Time2,Trial2
12-Mar-16,M33,Tank3,pH 7.9,Time2,Trial2
12-Mar-16,M34,Tank3,pH 7.9,Time2,Trial2
12-Mar-16,M35,Tank3,pH 7.9,Time2,Trial2
12-Mar-16,M36,Tank2,pH 7.9,Time2,Trial2
12-Mar-16,M37,Tank2,pH 7.9,Time2,Trial2
12-Mar-16,M38,Tank2,pH 7.9,Time2,Trial2
12-Mar-16,M39,Tank1,pH 7.4,Time2,Trial2
12-Mar-16,M40,Tank1,pH 7.4,Time2,Trial2
12-Mar-16,M41,Tank1,pH 7.4,Time2,Trial2
14-Mar-16,M42,Tank4,pH 7.4,Time3,Trial2
