Date,Tube ID,Sample ID,Picture ID,Scale,Length,Width,Area,Notes,,,,,,,
3/8/16,M1,M1_L1,M1_L1,1.007,0.114,0.102,0.009,"doesn't have distinct ""D"" shape",,,,,,,
3/8/16,M1,M1_L2,M1_L2,0.997,0.128,0.103,0.011,,,,,,,,
3/8/16,M1,M1_L3,M1_L3toL6,1.032,0.139,0.111,0.013,,,,,,,,
3/8/16,M1,M1_L4,M1_L3toL6,1.032,0.132,0.1,0.011,,,,,,,,
3/8/16,M1,M1_L5,M1_L3toL6,1.032,0.134,0.096,0.01,,,,,,,,
3/8/16,M1,M1_L6,M1_L3toL6,1.032,0.131,0.097,0.011,,,,,,,,
3/8/16,M1,M1_L7,M1_L7,1.024,0.132,0.11,0.012,,,,,,,,
3/8/16,M1,M1_L8,M1_L8,1.013,0.134,0.108,0.012,,,,,,,,
3/8/16,M1,M1_L9,M1_L9,1.017,0.127,0.102,0.011,,,,,,,,
3/8/16,M1,M1_L10,M1_L10,0.995,0.123,0.099,0.009,on the edge of a boundary - a little difficult to measure,,,,,,,
3/8/16,M1,M1_L11,M1_L11,1.009,0.125,0.097,0.01,"doesn't have distinct ""D"" shape",,,,,,,
3/8/16,M1,M1_L12,M1_L12,0.991,0.123,0.098,0.01,,,,,,,,
3/8/16,M1,M1_L13,M1_L13,1.019,0.123,0.097,0.01,,,,,,,,
3/8/16,M1,M1_L14,M1_L14,1.012,0.113,0.09,0.008,,,,,,,,
3/8/16,M1,M1_L15,M1_L15toL16,0.995,0.127,0.096,0.011,,,,,,,,
3/8/16,M1,M1_L16,M1_L15toL16,0.995,0.137,0.102,0.012,,,,,,,,
3/8/16,M2,M2_L1,M2_L1toL5,1.05,0.126,0.104,0.011,,,,,,,,
3/8/16,M2,M2_L2,M2_L1toL5,1.05,0.141,0.107,0.013,,,,,,,,
3/8/16,M2,M2_L3,M2_L1toL5,1.05,0.142,0.106,0.011,,,,,,,,
3/8/16,M2,M2_L4,M2_L1toL5,1.05,0.13,0.102,0.011,,,,,,,,
3/8/16,M2,M2_L5,M2_L1toL5,1.05,0.137,0.111,0.011,,,,,,,,
3/8/16,M2,M2_L6,M2_L6toL8,1.046,0.147,0.107,0.014,,,,,,,,
3/8/16,M2,M2_L7,M2_L6toL8,1.046,0.129,0.107,0.011,,,,,,,,
3/8/16,M2,M2_L8,M2_L6toL8,1.046,0.136,0.106,0.011,,,,,,,,
3/8/16,M2,M2_L9,M2_L9toL11,1.045,0.133,0.106,0.011,,,,,,,,
3/8/16,M2,M2_L10,M2_L9toL11,1.045,0.127,0.102,0.011,,,,,,,,
3/8/16,M2,M2_L11,M2_L9toL11,1.045,0.133,0.105,0.011,,,,,,,,
3/8/16,M2,M2_L12,M2_L12toL16,1.049,0.125,0.1,0.01,,,,,,,,
3/8/16,M2,M2_L13,M2_L12toL16,1.049,0.125,0.094,0.01,,,,,,,,
3/8/16,M2,M2_L14,M2_L12toL16,1.049,0.128,0.103,0.011,,,,,,,,
3/8/16,M2,M2_L15,M2_L12toL16,1.049,0.131,0.1,0.011,,,,,,,,
3/8/16,M2,M2_L16,M2_L12toL16,1.049,0.142,0.108,0.012,,,,,,,,
3/8/16,M2,M2_L17,M2_L17toL20,1.054,0.131,0.099,0.01,,,,,,,,
3/8/16,M2,M2_L18,M2_L17toL20,1.054,0.135,0.103,0.011,,,,,,,,
3/8/16,M2,M2_L19,M2_L17toL20,1.054,0.131,0.105,0.012,,,,,,,,
3/8/16,M2,M2_L20,M2_L17toL20,1.054,0.13,0.103,0.011,,,,,,,,
3/8/16,M3,M3_L1,M3_L1toL20,0.997,0.139,0.106,0.012,,,,,,,,
3/8/16,M3,M3_L2,M3_L1toL20,0.997,0.138,0.106,0.012,,,,,,,,
